number,name,ligand,/,staining,Repeat,length,TB/UB,,
484,damp,(ub);,not,digitized,damp,10,long,ub,
485,myelin,stain,-,section,20,MS,10,long,
486,QY#HG#MR1s2#R#epib#6166#10,epib,10,long,tb,,,,
487,epib,(ub);,not,digitized,epib,10,long,ub,
488,QY#HG#MR1s2#R#praz#6150#10,praz,10,long,tb,,,,
489,praz,(ub);,not,digitized,praz,10,long,ub,
490,QY#HG#MR1s2#R#uk14#6154#10,uk14,10,long,tb,,,,
491,lost,sectioning,,10,long,,,,
492,uk14,(ub);,not,digitized,uk14,10,long,ub,
493,fall,(ub);,not,digitized,,10,long,,
494,fall;,not,digitized,,10,long,,,
495,QY#HG#MR1s2#R#dpat#6142#10,dpat,10,long,tb,,,,
496,dpat,(ub);,not,digitized,dpat,10,long,ub,
497,QY#HG#MR1s2#R#sr95#6206#10,sr95,10,long,tb,,,,
498,sr95,(ub);,not,digitized,sr95,10,long,ub,
499,cell,body,stain,-,section,32,AG,10,long
500,QY#HG#MR1s2#R#sch2#6162#10,sch2,10,long,tb,,,,
501,lost,sectioning,,10,long,,,,
502,lost,sectioning,,10,long,,,,
503,sch2,(ub);,not,digitized,,10,long,ub,
504,QY#HG#MR1s2#R#rx82#6158#10,rx82,10,long,tb,,,,
505,rx82,(ub);,not,digitized,,10,long,ub,
506,QY#HG#MR1s2#R#afdx#6198#10,afdx,10,long,tb,,,,
507,lost,sectioning,,10,long,,,,
508,lost,sectioning,,10,long,,,,
509,lost,sectioning,,10,long,,,,
510,lost,sectioning,,10,long,,,,
511,lost,sectioning,,10,long,,,,
512,afdx,(ub);,not,digitized,afdx,10,long,ub,
513,QY#HG#MR1s2#R#dpog#6178#10,dpog,10,long,tb,,,,
514,dpog,(ub);,not,digitized,dpog,10,long,ub,
515,lost,sectioning,,10,long,,,,
516,dpmg,(ub);,not,digitized,dpmg,10,long,ub,
517,myelin,stain,-,section,41,MS,10,long,
518,QY#HG#MR1s2#R#dpmg#6182#10,dpmg,10,long,tb,,,,
519,QY#HG#MR1s2#R#ly34#6202#10,ly34,10,long,tb,,,,
520,spare;,in,freezer,,10,long,,,
521,ly34,(ub);,not,digitized,ly34,10,long,ub,
522,QY#HG#MR1s2#R#cpog#6170#10,cpog,10,long,tb,,,,
523,cpog,(ub);,not,digitized,cpog,10,long,ub,
524,lost,sectioning,,10,long,,,,
525,lost,sectioning,,10,long,,,,
526,QY#HG#MR1s2#R#cpmg#6174#10,cpmg,10,long,tb,,,,
527,cpmg,(ub);,not,digitized,cpmg,10,long,ub,
528,lost,sectioning,,10,long,,,,
529,keta,(ub);,not,digitized,keta,10,long,ub,
530,QY#HG#MR1s2#R#keta#6146#10,keta,10,long,tb,,,,
531,QY#HG#MR1S2#R#pire#9514#10,pire,10,long,tb,,,,
532,QY#HG#MR1S2#R#pire#9514#UB,pire,10,long,ub,,,,
533,damg;,not,digitized,,10,long,,,
534,damg,(ub);,not,digitized,,10,long,ub,
535,spare;,in,freezer,,10,long,,,
536,dpdp;,not,digitized,,10,long,,,
537,spare;,in,freezer,,10,long,,,
538,spare;,in,freezer,,10,long,,,
539,dpdp,(ub);,not,digitized,,10,long,,
540,spare;,in,freezer,,10,long,,,
541,spare;,in,freezer,,10,long,,,
542,spare;,in,freezer,,10,long,,,
543,spare;,in,freezer,,10,long,,,
544,spare;,in,freezer,,10,short,,,
545,spare;,in,freezer,,10,short,,,
546,spare;,in,freezer,,10,short,,,
547,spare;,in,freezer,,10,short,,,
548,spare;,in,freezer,,10,short,,,
549,spare;,in,freezer,,10,short,,,
550,spare;,in,freezer,,10,short,,,
551,lost,sectioning,,10,short,,,,
552,lost,sectioning,,10,short,,,,
553,lost,sectioning,,10,short,,,,
554,QY#HG#MR1s2#R#ampa#6119#11,ampa,11,short,tb,,,,
555,lost,sectioning,,11,short,,,,
556,lost,sectioning,,11,short,,,,
557,lost,sectioning,,11,short,,,,
558,lost,sectioning,,11,short,,,,
559,lost,sectioning,,11,short,,,,
560,lost,sectioning,,11,short,,,,
561,QY#HG#MR1s2#R#kain#6123#11,kain,11,short,tb,,,,
562,QY#HG#MR1s2#R#mk80#6127#11,mk80,11,short,tb,,,,
563,QY#HG#MR1s2#R#musc#6130#11,musc,11,short,tb,,,,
564,QY#HG#MR1s2#R#cgp5#6187#11,cgp5,11,short,tb,,,,
565,QY#HG#MR1s2#R#flum#6190#11,flum,11,short,tb,,,,
566,cell,body,stain,-,section,13,AG,11,short
567,QY#HG#MR1s2#R#oxot#6138#11,oxot,11,short,tb,,,,
568,lost,sectioning,,11,short,,,,
569,lost,sectioning,,11,short,,,,
570,QY#HG#MR1s2#R#damp#6195#11,damp,11,short,tb,,,,
571,myelin,stain,-,section,20,MS,11,short,
572,lost,sectioning,,11,short,,,,
573,QY#HG#MR1s2#R#epib#6166#11,epib,11,short,tb,,,,
574,QY#HG#MR1s2#R#praz#6150#11,praz,11,short,tb,,,,
575,QY#HG#MR1s2#R#uk14#6154#11,uk14,11,short,tb,,,,
576,lost,sectioning,,11,short,,,,
577,fall;,not,digitized,,11,short,,,
578,QY#HG#MR1s2#R#dpat#6142#11,dpat,11,short,tb,,,,
579,QY#HG#MR1s2#R#sr95#6206#11,sr95,11,short,tb,,,,
580,QY#HG#MR1s2#R#sch2#6162#11,sch2,11,short,tb,,,,
581,lost,sectioning,,11,short,,,,
582,cell,body,stain,-,section,32,AG,11,short
583,lost,sectioning,,11,short,,,,
584,QY#HG#MR1s2#R#rx82#6158#11,rx82,11,short,tb,,,,
585,QY#HG#MR1s2#R#afdx#6199#11,afdx,11,short,tb,,,,
586,QY#HG#MR1s2#R#dpog#6179#11,dpog,11,short,tb,,,,
587,myelin,stain,-,section,41,MS,11,short,
588,QY#HG#MR1s2#R#dpmg#6182#11,dpmg,11,short,tb,,,,
589,QY#HG#MR1s2#R#ly34#6202#11,ly34,11,short,tb,,,,
590,lost,sectioning,,11,short,,,,
591,spare;,in,freezer,,11,short,,,
592,lost,sectioning,,11,short,,,,
593,QY#HG#MR1s2#R#cpog#6171#11,cpog,11,short,tb,,,,
594,QY#HG#MR1s2#R#cpmg#6175#11,cpmg,11,short,tb,,,,
595,QY#HG#MR1s2#R#keta#6146#11,keta,11,short,tb,,,,
596,QY#HG#MR1S2#R#pire#9515#11,pire,11,short,tb,,,,
597,damg;,not,digitized,,11,short,,,
598,dpdp;,not,digitized,,11,short,,,
599,spare;,in,freezer,,11,short,,,
600,spare;,in,freezer,,11,short,,,
601,spare;,in,freezer,,11,short,,,
602,spare;,in,freezer,,11,short,,,
603,spare;,in,freezer,,11,short,,,
604,spare;,in,freezer,,11,short,,,
605,spare;,in,freezer,,11,short,,,
606,spare;,in,freezer,,11,short,,,
607,lost,sectioning,,11,short,,,,
608,lost,sectioning,,11,short,,,,
609,lost,sectioning,,11,short,,,,
610,lost,sectioning,,11,short,,,,
611,lost,sectioning,,11,short,,,,
612,QY#HG#MR1s2#R#ampa#6119#12,ampa,12,short,tb,,,,
613,lost,sectioning,,12,short,,,,
614,lost,sectioning,,12,short,,,,
615,QY#HG#MR1s2#R#kain#6123#12,kain,12,short,tb,,,,
616,QY#HG#MR1s2#R#mk80#6127#12,mk80,12,short,tb,,,,
617,QY#HG#MR1s2#R#musc#6130#12,musc,12,short,tb,,,,
618,QY#HG#MR1s2#R#cgp5#6187#12,cgp5,12,short,tb,,,,
619,QY#HG#MR1s2#R#flum#6190#12,flum,12,short,tb,,,,
620,cell,body,stain,-,section,13,AG,12,short
621,QY#HG#MR1s2#R#oxot#6138#12,oxot,12,short,tb,,,,
622,lost,sectioning,,12,short,,,,
623,lost,sectioning,,12,short,,,,
624,QY#HG#MR1s2#R#damp#6195#12,damp,12,short,tb,,,,
625,lost,sectioning,,12,short,,,,
626,myelin,stain,-,section,20,MS,12,short,
627,QY#HG#MR1s2#R#epib#6166#12,epib,12,short,tb,,,,
628,QY#HG#MR1s2#R#praz#6150#12,praz,12,short,tb,,,,
629,QY#HG#MR1s2#R#uk14#6154#12,uk14,12,short,tb,,,,
630,lost,sectioning,,12,short,,,,
631,fall;,not,digitized,,12,short,,,
632,QY#HG#MR1s2#R#dpat#6142#12,dpat,12,short,tb,,,,
633,lost,sectioning,,12,short,,,,
634,QY#HG#MR1s2#R#sr95#6206#12,sr95,12,short,tb,,,,
635,QY#HG#MR1s2#R#sch2#6162#12,sch2,12,short,tb,,,,
636,cell,body,stain,-,section,32,AG,12,short
637,QY#HG#MR1s2#R#rx82#6158#12,rx82,12,short,tb,,,,
638,lost,sectioning,,12,short,,,,
639,QY#HG#MR1s2#R#afdx#6199#12,afdx,12,short,tb,,,,
640,QY#HG#MR1s2#R#dpog#6179#12,dpog,12,short,tb,,,,
641,lost,sectioning,,12,short,,,,
642,myelin,stain,-,section,41,MS,12,short,
643,lost,sectioning,,12,short,,,,
644,QY#HG#MR1s2#R#dpmg#6182#12,dpmg,12,short,tb,,,,
645,QY#HG#MR1s2#R#ly34#6202#12,ly34,12,short,tb,,,,
646,lost,sectioning,,12,short,,,,
647,QY#HG#MR1s2#R#cpog#6171#12,cpog,12,short,tb,,,,
648,QY#HG#MR1s2#R#cpmg#6175#12,cpmg,12,short,tb,,,,
649,QY#HG#MR1s2#R#keta#6146#12,keta,12,short,tb,,,,
650,QY#HG#MR1S2#R#pire#9515#12,pire,12,short,tb,,,,
651,damg;,not,digitized,,12,short,,,
652,dpdp;,not,digitized,,12,short,,,
653,spare;,in,freezer,,12,short,,,
654,spare;,in,freezer,,12,short,,,
655,spare;,in,freezer,,12,short,,,
656,spare;,in,freezer,,12,short,,,
657,spare;,in,freezer,,12,short,,,
658,spare;,in,freezer,,12,short,,,
659,spare;,in,freezer,,12,short,,,
660,spare;,in,freezer,,12,short,,,
661,QY#HG#MR1s2#R#ampa#6119#13,ampa,13,short,tb,,,,
662,lost,sectioning,,13,short,,,,
663,QY#HG#MR1s2#R#kain#6123#13,kain,13,short,tb,,,,
664,QY#HG#MR1s2#R#mk80#6127#13,mk80,13,short,tb,,,,
665,QY#HG#MR1s2#R#musc#6130#13,musc,13,short,tb,,,,
666,lost,sectioning,,13,short,,,,
667,QY#HG#MR1s2#R#cgp5#6187#13,cgp5,13,short,tb,,,,
668,QY#HG#MR1s2#R#flum#6190#13,flum,13,short,tb,,,,
669,cell,body,stain,-,section,13,AG,13,short
670,QY#HG#MR1s2#R#oxot#6138#13,oxot,13,short,tb,,,,
671,lost,sectioning,,13,short,,,,
672,QY#HG#MR1s2#R#damp#6195#13,damp,13,short,tb,,,,
673,lost,sectioning,,13,short,,,,
674,myelin,stain,-,section,20,MS,13,short,
675,QY#HG#MR1s2#R#epib#6166#13,epib,13,short,tb,,,,
676,QY#HG#MR1s2#R#praz#6150#13,praz,13,short,tb,,,,
677,QY#HG#MR1s2#R#uk14#6154#13,uk14,13,short,tb,,,,
678,fall;,not,digitized,,13,short,,,
679,QY#HG#MR1s2#R#dpat#6142#13,dpat,13,short,tb,,,,
680,QY#HG#MR1s2#R#sr95#6206#13,sr95,13,short,tb,,,,
681,QY#HG#MR1s2#R#sch2#6162#13,sch2,13,short,tb,,,,
682,cell,body,stain,-,section,13,AG,13,short
683,lost,sectioning,,13,short,,,,
684,QY#HG#MR1s2#R#rx82#6158#13,rx82,13,short,tb,,,,
685,QY#HG#MR1s2#R#afdx#6199#13,afdx,13,short,tb,,,,
686,QY#HG#MR1s2#R#dpog#6179#13,dpog,13,short,tb,,,,
687,myelin,stain,-,section,41,MS,13,short,
688,QY#HG#MR1s2#R#dpmg#6182#13,dpmg,13,short,tb,,,,
689,QY#HG#MR1s2#R#ly34#6202#13,ly34,13,short,tb,,,,
690,spare;,in,freezer,,13,short,,,
691,QY#HG#MR1s2#R#cpog#6171#13,cpog,13,short,tb,,,,
692,QY#HG#MR1s2#R#cpmg#6175#13,cpmg,13,short,tb,,,,
693,QY#HG#MR1s2#R#keta#6146#13,keta,13,short,tb,,,,
694,QY#HG#MR1S2#R#pire#9515#13,pire,13,short,tb,,,,
695,damg;,not,digitized,,13,short,,,
696,dpdp;,not,digitized,,13,short,,,
697,spare;,in,freezer,,13,short,,,
698,spare;,in,freezer,,13,short,,,
699,spare;,in,freezer,,13,short,,,
700,spare;,in,freezer,,13,short,,,
701,spare;,in,freezer,,13,short,,,
702,spare;,in,freezer,,13,short,,,
703,spare;,in,freezer,,13,short,,,
704,spare;,in,freezer,,13,short,,,
705,QY#HG#MR1s2#R#ampa#6120#14,ampa,14,short,tb,,,,
706,QY#HG#MR1s2#R#kain#6124#14,kain,14,short,tb,,,,
707,lost,sectioning,,14,short,,,,
708,QY#HG#MR1s2#R#mk80#6128#14,mk80,14,short,tb,,,,
709,QY#HG#MR1s2#R#musc#6130#14,musc,14,short,tb,,,,
710,lost,sectioning,,14,short,,,,
711,lost,sectioning,,14,short,,,,
712,lost,sectioning,,14,short,,,,
713,lost,sectioning,,14,short,,,,
714,lost,sectioning,,14,short,,,,
715,lost,sectioning,,14,short,,,,
716,lost,sectioning,,14,short,,,,
717,QY#HG#MR1s2#R#cgp5#6188#14,cgp5,14,short,tb,,,,
718,QY#HG#MR1s2#R#flum#6190#14,flum,14,short,tb,,,,
719,lost,sectioning,,14,short,,,,
720,cell,body,stain,-,section,13,AG,14,short
721,QY#HG#MR1s2#R#oxot#6138#14,oxot,14,short,tb,,,,
722,lost,sectioning,,14,short,,,,
723,lost,sectioning,,14,short,,,,
724,QY#HG#MR1s2#R#damp#6196#14,damp,14,short,tb,,,,
725,myelin,stain,-,section,20,MS,14,short,
726,lost,sectioning,,14,short,,,,
727,QY#HG#MR1s2#R#epib#6166#14,epib,14,short,tb,,,,
728,lost,sectioning,,14,short,,,,
729,lost,sectioning,,14,short,,,,
730,QY#HG#MR1s2#R#praz#6150#14,praz,14,short,tb,,,,
731,QY#HG#MR1s2#R#uk14#6154#14,uk14,14,short,tb,,,,
732,fall;,not,digitized,,14,short,,,
733,QY#HG#MR1s2#R#dpat#6142#14,dpat,14,short,tb,,,,
734,lost,sectioning,,14,short,,,,
735,lost,sectioning,,14,short,,,,
736,QY#HG#MR1s2#R#sr95#6206#14,sr95,14,short,tb,,,,
737,QY#HG#MR1s2#R#sch2#6162#14,sch2,14,short,tb,,,,
738,lost,sectioning,,14,short,,,,
739,cell,body,stain,-,section,32,AG,14,short
740,QY#HG#MR1s2#R#rx82#6158#14,rx82,14,short,tb,,,,
741,lost,sectioning,,14,short,,,,
742,QY#HG#MR1s2#R#afdx#6200#14,afdx,14,short,tb,,,,
743,QY#HG#MR1s2#R#dpog#6180#14,dpog,14,short,tb,,,,
744,myelin,stain,-,section,41,MS,14,short,
745,QY#HG#MR1s2#R#dpmg#6182#14,dpmg,14,short,tb,,,,
746,QY#HG#MR1s2#R#ly34#6202#14,ly34,14,short,tb,,,,
747,spare;,in,freezer,,14,short,,,
748,lost,sectioning,,14,short,,,,
749,lost,sectioning,,14,short,,,,
750,QY#HG#MR1s2#R#cpog#6172#14,cpog,14,short,tb,,,,
751,lost,sectioning,,14,short,,,,
752,lost,sectioning,,14,short,,,,
753,lost,sectioning,,14,short,,,,
754,QY#HG#MR1s2#R#cpmg#6176#14,cpmg,14,short,tb,,,,
755,QY#HG#MR1s2#R#keta#6146#14,keta,14,short,tb,,,,
756,QY#HG#MR1S2#R#pire#9515#14,pire,14,short,tb,,,,
757,damg;,not,digitized,,14,short,,,
758,spare;,in,freezer,,14,short,,,
759,dpdp;,not,digitized,,14,short,,,
760,spare;,in,freezer,,14,short,,,
761,spare;,in,freezer,,14,short,,,
762,spare;,in,freezer,,14,short,,,
763,spare;,in,freezer,,14,short,,,
764,spare;,in,freezer,,14,short,,,
765,spare;,in,freezer,,14,short,,,
766,spare;,in,freezer,,14,short,,,
767,lost,sectioning,,14,short,,,,
768,lost,sectioning,,14,short,,,,
769,lost,sectioning,,14,short,,,,
770,lost,sectioning,,14,short,,,,
771,lost,sectioning,,14,short,,,,
772,QY#HG#MR1s2#R#ampa#6120#15,ampa,15,short,tb,,,,
773,lost,sectioning,,15,short,,,,
774,lost,sectioning,,15,short,,,,
775,lost,sectioning,,15,short,,,,
776,QY#HG#MR1s2#R#kain#6124#15,kain,15,short,tb,,,,
777,QY#HG#MR1s2#R#mk80#6128#15,mk80,15,short,tb,,,,
778,QY#HG#MR1s2#R#musc#6131#15,musc,15,short,tb,,,,
779,QY#HG#MR1s2#R#cgp5#6188#15,cgp5,15,short,tb,,,,
780,lost,sectioning,,15,short,,,,
781,QY#HG#MR1s2#R#flum#6191#15,flum,15,short,tb,,,,
782,cell,body,stain,-,section,13,AG,15,short
783,QY#HG#MR1s2#R#oxot#6139#15,oxot,15,short,tb,,,,
784,lost,sectioning,,15,short,,,,
785,lost,sectioning,,15,short,,,,
786,lost,sectioning,,15,short,,,,
787,QY#HG#MR1s2#R#damp#6196#15,damp,15,short,tb,,,,
788,lost,sectioning,,15,short,,,,
789,myelin,stain,-,section,20,MS,15,short,
790,QY#HG#MR1s2#R#epib#6167#15,epib,15,short,tb,,,,
791,lost,sectioning,,15,short,,,,
792,lost,sectioning,,15,short,,,,
793,QY#HG#MR1s2#R#praz#6151#15,praz,15,short,tb,,,,
794,lost,sectioning,,15,short,,,,
795,lost,sectioning,,15,short,,,,
796,QY#HG#MR1s2#R#uk14#6155#15,uk14,15,short,tb,,,,
797,fall;,not,digitized,,15,short,,,
798,QY#HG#MR1s2#R#dpat#6143#15,dpat,15,short,tb,,,,
799,lost,sectioning,,15,short,,,,
800,QY#HG#MR1s2#R#sch2#6163#15,sch2,15,short,tb,,,,
801,lost,sectioning,,15,short,,,,
802,cell,body,stain,-,section,32,AG,15,short
803,lost,sectioning,,15,short,,,,
804,lost,sectioning,,15,short,,,,
805,lost,sectioning,,15,short,,,,
806,lost,sectioning,,15,short,,,,
807,QY#HG#MR1s2#R#rx82#6159#15,rx82,15,short,tb,,,,
808,QY#HG#MR1s2#R#afdx#6200#15,afdx,15,short,tb,,,,
809,lost,sectioning,,15,short,,,,
810,lost,sectioning,,15,short,,,,
811,lost,sectioning,,15,short,,,,
812,lost,sectioning,,15,short,,,,
813,lost,sectioning,,15,short,,,,
814,QY#HG#MR1s2#R#dpog#6180#15,dpog,15,short,tb,,,,
815,myelin,stain,-,section,41,MS,15,short,
816,QY#HG#MR1s2#R#dpmg#6183#15,dpmg,15,short,tb,,,,
817,spare;,in,freezer,,15,short,,,
818,QY#HG#MR1s2#R#ly34#6203#15,ly34,15,short,tb,,,,
819,lost,sectioning,,15,short,,,,
820,QY#HG#MR1s2#R#cpog#6172#15,cpog,15,short,tb,,,,
821,QY#HG#MR1s2#R#cpmg#6176#15,cpmg,15,short,tb,,,,
822,QY#HG#MR1s2#R#keta#6146#15,keta,15,short,tb,,,,
823,QY#HG#MR1S2#R#pire#9516#15,pire,15,short,tb,,,,
824,damg;,not,digitized,,15,short,,,
825,dpdp;,not,digitized,,15,short,,,
826,spare;,in,freezer,,15,short,,,
827,spare;,in,freezer,,15,short,,,
828,spare;,in,freezer,,15,short,,,
829,spare;,in,freezer,,15,short,,,
830,spare;,in,freezer,,15,short,,,
831,spare;,in,freezer,,15,short,,,
832,spare;,in,freezer,,15,short,,,
833,spare;,in,freezer,,15,short,,,
834,lost,sectioning,,15,short,,,,
835,lost,sectioning,,15,short,,,,
836,lost,sectioning,,15,short,,,,
837,QY#HG#MR1s2#R#ampa#6120#16,ampa,16,short,tb,,,,
838,lost,sectioning,,16,short,,,,
839,lost,sectioning,,16,short,,,,
840,QY#HG#MR1s2#R#kain#6124#16,kain,16,short,tb,,,,
841,QY#HG#MR1s2#R#mk80#6128#16,mk80,16,short,tb,,,,
842,QY#HG#MR1s2#R#musc#6131#16,musc,16,short,tb,,,,
843,QY#HG#MR1s2#R#cgp5#6188#16,cgp5,16,short,tb,,,,
844,QY#HG#MR1s2#R#flum#6191#16,flum,16,short,tb,,,,
845,cell,body,stain,-,section,13,AG,16,short
846,QY#HG#MR1s2#R#oxot#6139#16,oxot,16,short,tb,,,,
847,lost,sectioning,,16,short,,,,
848,QY#HG#MR1s2#R#damp#6196#16,damp,16,short,tb,,,,
849,myelin,stain,-,section,20,MS,16,short,
850,QY#HG#MR1s2#R#epib#6167#16,epib,16,short,tb,,,,
851,QY#HG#MR1s2#R#praz#6151#16,praz,16,short,tb,,,,
852,QY#HG#MR1s2#R#uk14#6155#16,uk14,16,short,tb,,,,
853,fall;,not,digitized,,16,short,,,
854,QY#HG#MR1s2#R#dpat#6143#16,dpat,16,short,tb,,,,
855,QY#HG#MR1s2#R#sr95#6207#16,sr95,16,short,tb,,,,
856,QY#HG#MR1s2#R#sch2#6163#16,sch2,16,short,tb,,,,
857,cell,body,stain,-,section,32,AG,16,short
858,QY#HG#MR1s2#R#rx82#6159#16,rx82,16,short,tb,,,,
859,QY#HG#MR1s2#R#afdx#6200#16,afdx,16,short,tb,,,,
860,QY#HG#MR1s2#R#dpog#6180#16,dpog,16,short,tb,,,,
861,lost,sectioning,,16,short,,,,
862,QY#HG#MR1s2#R#sr95#6207#15,sr95,16,short,tb,,,,
863,lost,sectioning,,16,short,,,,
864,myelin,stain,-,section,41,MS,16,short,
865,QY#HG#MR1s2#R#dpmg#6183#16,dpmg,16,short,tb,,,,
866,QY#HG#MR1s2#R#ly34#6203#16,ly34,16,short,tb,,,,
867,lost,sectioning,,16,short,,,,
868,lost,sectioning,,16,short,,,,
869,spare;,in,freezer,,16,short,,,
870,QY#HG#MR1s2#R#cpog#6172#16,cpog,16,short,tb,,,,
871,QY#HG#MR1s2#R#cpmg#6176#16,cpmg,16,short,tb,,,,
872,QY#HG#MR1s2#R#keta#6147#16,keta,16,short,tb,,,,
873,QY#HG#MR1S2#R#pire#9516#16,pire,16,short,tb,,,,
874,damg;,not,digitized,,16,short,,,
875,dpdp;,not,digitized,,16,short,,,
876,spare;,in,freezer,,16,short,,,
877,spare;,in,freezer,,16,short,,,
878,spare;,in,freezer,,16,short,,,
879,spare;,in,freezer,,16,short,,,
880,spare;,in,freezer,,16,short,,,
881,spare;,in,freezer,,16,short,,,
882,spare;,in,freezer,,16,short,,,
883,spare;,in,freezer,,16,short,,,
884,lost,sectioning,,16,short,,,,
885,lost,sectioning,,16,short,,,,
886,QY#HG#MR1s2#R#ampa#6120#17,ampa,17,short,tb,,,,
887,lost,sectioning,,17,short,,,,
888,QY#HG#MR1s2#R#kain#6124#17,kain,17,short,tb,,,,
889,QY#HG#MR1s2#R#mk80#6128#17,mk80,17,short,tb,,,,
890,QY#HG#MR1s2#R#musc#6131#17,musc,17,short,tb,,,,
891,QY#HG#MR1s2#R#cgp5#6188#17,cgp5,17,short,tb,,,,
892,QY#HG#MR1s2#R#flum#6191#17,flum,17,short,tb,,,,
893,cell,body,stain,-,section,13,AG,17,short
894,lost,sectioning,,17,short,,,,
895,QY#HG#MR1s2#R#oxot#6139#17,oxot,17,short,tb,,,,
896,lost,sectioning,,17,short,,,,
897,QY#HG#MR1s2#R#damp#6196#17,damp,17,short,tb,,,,
898,lost,sectioning,,17,short,,,,
899,myelin,stain,-,section,20,MS,17,short,
900,QY#HG#MR1s2#R#epib#6167#17,epib,17,short,tb,,,,
901,QY#HG#MR1s2#R#praz#6151#17,praz,17,short,tb,,,,
902,QY#HG#MR1s2#R#uk14#6155#17,uk14,17,short,tb,,,,
903,fall;,not,digitized,,17,short,,,
904,QY#HG#MR1s2#R#dpat#6143#17,dpat,17,short,tb,,,,
905,lost,sectioning,,17,short,,,,
906,lost,sectioning,,17,short,,,,
907,lost,sectioning,,17,short,,,,
908,lost,sectioning,,17,short,,,,
909,QY#HG#MR1s2#R#sr95#6207#17,sr95,17,short,tb,,,,
910,QY#HG#MR1s2#R#sch2#6163#17,sch2,17,short,tb,,,,
911,cell,body,stain,-,section,32,AG,17,short
912,QY#HG#MR1s2#R#rx82#6159#17,rx82,17,short,tb,,,,
913,QY#HG#MR1s2#R#afdx#6200#17,afdx,17,short,tb,,,,
914,QY#HG#MR1s2#R#dpog#6180#17,dpog,17,short,tb,,,,
915,lost,sectioning,,17,short,,,,
916,myelin,stain,-,section,41,MS,17,short,
917,QY#HG#MR1s2#R#dpmg#6183#17,dpmg,17,short,tb,,,,
918,QY#HG#MR1s2#R#ly34#6203#17,ly34,17,short,tb,,,,
919,spare;,in,freezer,,17,short,,,
920,lost,sectioning,,17,short,,,,
921,lost,sectioning,,17,short,,,,
922,spare;,in,freezer,,17,short,,,
923,lost,sectioning,,17,short,,,,
924,QY#HG#MR1s2#R#cpog#6172#17,cpog,17,short,tb,,,,
925,QY#HG#MR1s2#R#cpmg#6176#17,cpmg,17,short,tb,,,,
926,QY#HG#MR1s2#R#keta#6147#17,keta,17,short,tb,,,,
927,QY#HG#MR1S2#R#pire#9516#17,pire,17,short,tb,,,,
928,damg;,not,digitized,,17,short,,,
929,dpdp;,not,digitized,,17,short,,,
930,spare;,in,freezer,,17,short,,,
931,spare;,in,freezer,,17,short,,,
932,spare;,in,freezer,,17,short,,,
933,spare;,in,freezer,,17,short,,,
934,spare;,in,freezer,,17,short,,,
935,spare;,in,freezer,,17,short,,,
936,spare;,in,freezer,,17,short,,,
937,spare;,in,freezer,,17,short,,,
938,lost,sectioning,,17,short,,,,
939,lost,sectioning,,17,short,,,,
940,lost,sectioning,,17,short,,,,
941,QY#HG#MR1s2#R#ampa#86120#18,ampa,18,short,tb,,,,
942,lost,sectioning,,18,short,,,,
943,lost,sectioning,,18,short,,,,
944,QY#HG#MR1s2#R#kain#86124#18,kain,18,short,tb,,,,
945,QY#HG#MR1s2#R#mk80#86128#18,mk80,18,short,tb,,,,
946,QY#HG#MR1s2#R#musc#6131#18,musc,18,short,tb,,,,
947,QY#HG#MR1s2#R#cgp5#86188#18,cgp5,18,short,tb,,,,
948,QY#HG#MR1s2#R#flum#6191#18,flum,18,short,tb,,,,
949,cell,body,stain,-,section,13,AG,18,short
950,QY#HG#MR1s2#R#oxot#6139#18,oxot,18,short,tb,,,,
951,lost,sectioning,,18,short,,,,
952,QY#HG#MR1s2#R#damp#86196#18,damp,18,short,tb,,,,
953,lost,sectioning,,18,short,,,,
954,myelin,stain,-,section,20,MS,18,short,
955,QY#HG#MR1s2#R#epib#6167#18,epib,18,short,tb,,,,
956,QY#HG#MR1s2#R#praz#6151#18,praz,18,short,tb,,,,
957,QY#HG#MR1s2#R#uk14#6155#18,uk14,18,short,tb,,,,
958,fall;,not,digitized,,18,short,,,
959,QY#HG#MR1s2#R#dpat#6143#18,dpat,18,short,tb,,,,
960,lost,sectioning,,18,short,,,,
961,lost,sectioning,,18,short,,,,
962,lost,sectioning,,18,short,,,,
963,QY#HG#MR1s2#R#sr95#6207#18,sr95,18,short,tb,,,,
964,QY#HG#MR1s2#R#sch2#6163#18,sch2,18,short,tb,,,,
965,cell,body,stain,-,section,32,AG,18,short
966,QY#HG#MR1s2#R#rx82#6159#18,rx82,18,short,tb,,,,
967,QY#HG#MR1s2#R#afdx#86200#18,afdx,18,short,tb,,,,
968,QY#HG#MR1s2#R#dpog#86180#18,dpog,18,short,tb,,,,
969,myelin,stain,-,section,41,MS,18,short,
970,QY#HG#MR1s2#R#dpmg#6183#18,dpmg,18,short,tb,,,,
971,QY#HG#MR1s2#R#ly34#6203#18,ly34,18,short,tb,,,,
972,spare;,in,freezer,,18,short,,,
973,QY#HG#MR1s2#R#cpog#86172#18,cpog,18,short,tb,,,,
974,lost,sectioning,,18,short,,,,
975,lost,sectioning,,18,short,,,,
976,QY#HG#MR1s2#R#cpmg#86176#18,cpmg,18,short,tb,,,,
977,lost,sectioning,,18,short,,,,
978,lost,sectioning,,18,short,,,,
979,QY#HG#MR1s2#R#keta#6147#18,keta,18,short,tb,,,,
