number,name,ligand,repeat,length,TB/UB
571,damg (UB); not digitized,,10,long,
572,QW#HG#MR1S1#R#ampa#9380#10,ampa,10,long,tb
573,QW#HG#MR1S1#R#ampa#9380#UB,ampa,10,long,ub
574,dpdp; not digitized,,10,long,
575,dpdp (UB); not digitized,,10,long,ub
576,spare; in freezer,,10,long,
577,spare; in freezer,,10,long,
578,spare; in freezer,,10,long,
579,spare; in freezer,,10,long,
580,spare; in freezer,,10,long,
581,spare; in freezer,,10,long,
582,spare; in freezer,,10,long,
583,spare; in freezer,,10,long,
584,spare; in freezer,,10,long,
585,spare; in freezer,,10,long,
586,spare; in freezer,,10,long,
587,spare; in freezer,,10,long,
588,spare; in freezer,,10,long,
589,spare; in freezer,,10,long,
590,lost sectioning,,10,long,
591,lost sectioning,,10,long,
592,lost sectioning,,10,long,
593,lost sectioning,,10,long,
594,QW#HG#MR1s1#R#kain#5635#11,kain,11,short,tb
595,QW#HG#MR1s1#R#mk80#5637#11,mk80,11,short,tb
596,QW#HG#MR1s1#R#musc#5639#11,musc,11,short,tb
597,lost sectioning,,11,short,
598,QW#HG#MR1s1#R#cgp5#5667#11,cgp5,11,short,tb
599,QW#HG#MR1S1#R#flum#5669#11,flum,11,short,tb
600,lost sectioning,,11,short,
601,cell body stain - section 13,AG,11,short,
602,lost sectioning,,11,short,
603,QW#HG#MR1s1#R#oxot#5643#11,oxot,11,short,tb
604,QW#HG#MR1s1#R#damp#5671#11,damp,11,short,tb
605,myelin stain - section 20,MS,11,short,
606,QW#HG#MR1s1#R#epib#5657#11,epib,11,short,tb
607,QW#HG#MR1s1#R#praz#5649#11,praz,11,short,tb
608,QW#HG#MR1s1#R#uk14#5651#11,uk14,11,short,tb
609,spare; in freezer,,11,short,
610,QW#HG#MR1s1#R#dpat#5645#11,dpat,11,short,tb
611,QW#HG#MR1s1#R#sr95#5677#11,sr95,11,short,tb
612,cell body stain - section 32,AG,11,short,
613,lost sectioning,,11,short,
614,lost sectioning,,11,short,
615,QW#HG#MR1s1#R#sch2#5655#11,sch2,11,short,tb
616,QW#HG#MR1s1#R#rx82#5653#11,rx82,11,short,tb
617,lost sectioning,,11,short,
618,QW#HG#MR1s1#R#afdx#5673#11,afdx,11,short,tb
619,QW#HG#MR1s1#R#dpog#5663#11,dpog,11,short,tb
620,myelin stain - section 41,MS,11,short,
621,QW#HG#MR1S1#R#dpmg#5665#11,dpmg,11,short,tb
622,spare; in freezer,,11,short,
623,QW#HG#MR1s1#R#ly34#5675#11,ly34,11,short,tb
624,lost sectioning,,11,short,
625,QW#HG#MR1s1#R#cpog#5659#11,cpog,11,short,tb
626,QW#HG#MR1s1#R#cpmg#5661#11,cpmg,11,short,tb
627,QW#HG#MR1s1#R#keta#5647#11,keta,11,short,tb
628,QW#HG#MR1S1#R#pire#9510#11,pire,11,short,tb
629,damg; not digitized,,11,short,
630,QW#HG#MR1S1#R#ampa#9380#11,ampa,11,short,tb
631,dpdp; not digitized,,11,short,
632,spare; in freezer,,11,short,
633,spare; in freezer,,11,short,
634,spare; in freezer,,11,short,
635,spare; in freezer,,11,short,
636,spare; in freezer,,11,short,
637,spare; in freezer,,11,short,
638,spare; in freezer,,11,short,
639,spare; in freezer,,11,short,
640,lost sectioning,,11,short,
641,QW#HG#MR1s1#R#kain#5635#12,kain,12,short,tb
642,QW#HG#MR1s1#R#mk80#5637#12,mk80,12,short,tb
643,lost sectioning,,12,short,
644,lost sectioning,,12,short,
645,QW#HG#MR1s1#R#musc#5639#12,musc,12,short,tb
646,QW#HG#MR1s1#R#cgp5#5667#12,cgp5,12,short,tb
647,QW#HG#MR1S1#R#flum#5669#12,flum,12,short,tb
648,cell body stain - section 13,AG,12,short,
649,lost sectioning,,12,short,
650,QW#HG#MR1s1#R#oxot#5643#12,oxot,12,short,tb
651,QW#HG#MR1s1#R#damp#5671#12,damp,12,short,tb
652,lost sectioning,,12,short,
653,lost sectioning,,12,short,
654,myelin stain - section 20,MS,12,short,
655,QW#HG#MR1s1#R#epib#5657#12,epib,12,short,tb
656,QW#HG#MR1s1#R#praz#5649#12,praz,12,short,tb
657,QW#HG#MR1s1#R#uk14#5651#12,uk14,12,short,tb
658,spare; in freezer,,12,short,
659,QW#HG#MR1s1#R#dpat#5645#12,dpat,12,short,tb
660,QW#HG#MR1s1#R#sr95#5677#12,sr95,12,short,tb
661,cell body stain - section 32,AG,12,short,
662,QW#HG#MR1s1#R#sch2#5655#12,sch2,12,short,tb
663,QW#HG#MR1s1#R#rx82#5653#12,rx82,12,short,tb
664,lost sectioning,,12,short,
665,QW#HG#MR1s1#R#afdx#5673#12,afdx,12,short,tb
666,QW#HG#MR1s1#R#dpog#5663#12,dpog,12,short,tb
667,myelin stain - section 41,MS,12,short,
668,QW#HG#MR1S1#R#dpmg#5665#12,dpmg,12,short,tb
669,spare; in freezer,,12,short,
670,QW#HG#MR1s1#R#ly34#5675#12,ly34,12,short,tb
671,lost sectioning,,12,short,
672,QW#HG#MR1s1#R#cpog#5659#12,cpog,12,short,tb
673,QW#HG#MR1s1#R#cpmg#5661#12,cpmg,12,short,tb
674,QW#HG#MR1s1#R#keta#5647#12,keta,12,short,tb
675,lost sectioning,,12,short,
676,QW#HG#MR1S1#R#pire#9511#12,pire,12,short,tb
677,damg; not digitized,,12,short,
678,lost sectioning,,12,short,
679,lost sectioning,,12,short,
680,QW#HG#MR1S1#R#ampa#9381#12,ampa,12,short,tb
681,dpdp; not digitized,,12,short,
682,spare; in freezer,,12,short,
683,spare; in freezer,,12,short,
684,spare; in freezer,,12,short,
685,spare; in freezer,,12,short,
686,spare; in freezer,,12,short,
687,spare; in freezer,,12,short,
688,spare; in freezer,,12,short,
689,spare; in freezer,,12,short,
690,lost sectioning,,12,short,
691,lost sectioning,,12,short,
692,QW#HG#MR1s1#R#kain#5635#13,kain,13,short,tb
693,QW#HG#MR1s1#R#mk80#5637#13,mk80,13,short,tb
694,QW#HG#MR1s1#R#musc#5639#13,musc,13,short,tb
695,QW#HG#MR1s1#R#cgp5#5667#13,cgp5,13,short,tb
696,QW#HG#MR1S1#R#flum#5669#13,flum,13,short,tb
697,cell body stain - section 13,AG,13,short,
698,lost sectioning,,13,short,
699,QW#HG#MR1s1#R#oxot#5643#13,oxot,13,short,tb
700,lost sectioning,,13,short,
701,lost sectioning,,13,short,
702,QW#HG#MR1s1#R#damp#5671#13,damp,13,short,tb
703,myelin stain - section 20,MS,13,short,
704,QW#HG#MR1s1#R#epib#5657#13,epib,13,short,tb
705,QW#HG#MR1s1#R#praz#5649#13,praz,13,short,tb
706,QW#HG#MR1s1#R#uk14#5651#13,uk14,13,short,tb
707,spare; in freezer,,13,short,
708,lost sectioning,,13,short,
709,QW#HG#MR1s1#R#dpat#5645#13,dpat,13,short,tb
710,QW#HG#MR1s1#R#sr95#5677#13,sr95,13,short,tb
711,cell body stain - section 32,AG,13,short,
712,QW#HG#MR1s1#R#sch2#5655#13,sch2,13,short,tb
713,QW#HG#MR1s1#R#rx82#5653#13,rx82,13,short,tb
714,QW#HG#MR1s1#R#afdx#5673#13,afdx,13,short,tb
715,QW#HG#MR1s1#R#dpog#5663#13,dpog,13,short,tb
716,myelin stain - section 41,MS,13,short,
717,QW#HG#MR1S1#R#dpmg#5665#13,dpmg,13,short,tb
718,spare; in freezer,,13,short,
719,lost sectioning,,13,short,
720,lost sectioning,,13,short,
721,QW#HG#MR1s1#R#ly34#5675#13,ly34,13,short,tb
722,lost sectioning,,13,short,
723,QW#HG#MR1s1#R#cpog#5659#13,cpog,13,short,tb
724,QW#HG#MR1s1#R#cpmg#5661#13,cpmg,13,short,tb
725,QW#HG#MR1s1#R#keta#5647#13,keta,13,short,tb
726,QW#HG#MR1S1#R#pire#9511#13,pire,13,short,tb
727,damg; not digitized,,13,short,
728,QW#HG#MR1S1#R#ampa#9381#13,ampa,13,short,tb
729,dpdp; not digitized,,13,short,
730,spare; in freezer,,13,short,
731,spare; in freezer,,13,short,
732,spare; in freezer,,13,short,
733,spare; in freezer,,13,short,
734,spare; in freezer,,13,short,
735,spare; in freezer,,13,short,
736,lost sectioning,,13,short,
737,lost sectioning,,13,short,
738,lost sectioning,,13,short,
739,lost sectioning,,13,short,
740,QW#HG#MR1s1#R#kain#5635#14,kain,14,short,tb
741,QW#HG#MR1s1#R#mk80#5637#14,mk80,14,short,tb
742,QW#HG#MR1s1#R#musc#5639#14,musc,14,short,tb
743,QW#HG#MR1s1#R#cgp5#5667#14,cgp5,14,short,tb
744,QW#HG#MR1S1#R#flum#5669#14,flum,14,short,tb
745,lost sectioning,,14,short,
746,cell body stain - section 13,AG,14,short,
747,lost sectioning,,14,short,
748,lost sectioning,,14,short,
749,QW#HG#MR1s1#R#oxot#5643#14,oxot,14,short,tb
750,QW#HG#MR1s1#R#damp#5671#14,damp,14,short,tb
751,myelin stain - section 20,MS,14,short,
752,QW#HG#MR1s1#R#epib#5657#14,epib,14,short,tb
753,QW#HG#MR1s1#R#praz#5649#14,praz,14,short,tb
754,QW#HG#MR1s1#R#uk14#5651#14,uk14,14,short,tb
755,lost sectioning,,14,short,
756,spare; in freezer,,14,short,
757,lost sectioning,,14,short,
758,lost sectioning,,14,short,
759,lost sectioning,,14,short,
760,QW#HG#MR1s1#R#dpat#5645#14,dpat,14,short,tb
761,QW#HG#MR1s1#R#sr95#5677#14,sr95,14,short,tb
762,cell body stain - section 32,AG,14,short,
763,QW#HG#MR1s1#R#sch2#5655#14,sch2,14,short,tb
764,lost sectioning,,14,short,
765,QW#HG#MR1s1#R#rx82#5653#14,rx82,14,short,tb
766,QW#HG#MR1s1#R#afdx#5673#14,afdx,14,short,tb
767,QW#HG#MR1s1#R#dpog#5663#14,dpog,14,short,tb
768,myelin stain - section 41,MS,14,short,
769,QW#HG#MR1S1#R#dpmg#5665#14,dpmg,14,short,tb
770,spare; in freezer,,14,short,
771,QW#HG#MR1s1#R#ly34#5675#14,ly34,14,short,tb
772,QW#HG#MR1s1#R#cpog#5659#14,cpog,14,short,tb
773,QW#HG#MR1s1#R#cpmg#5661#14,cpmg,14,short,tb
774,QW#HG#MR1s1#R#keta#5647#14,keta,14,short,tb
775,QW#HG#MR1S1#R#pire#9511#14,pire,14,short,tb
776,damg; not digitized,,14,short,
777,QW#HG#MR1S1#R#ampa#9381#14,ampa,14,short,tb
778,dpdp; not digitized,,14,short,
779,spare; in freezer,,14,short,
780,spare; in freezer,,14,short,
781,spare; in freezer,,14,short,
782,spare; in freezer,,14,short,
783,spare; in freezer,,14,short,
784,spare; in freezer,,14,short,
785,lost sectioning,,14,short,
786,lost sectioning,,14,short,
787,QW#HG#MR1s1#R#kain#5635#15,kain,15,short,tb
788,QW#HG#MR1s1#R#mk80#5637#15,mk80,15,short,tb
789,QW#HG#MR1s1#R#musc#5639#15,musc,15,short,tb
790,QW#HG#MR1s1#R#cgp5#5667#15,cgp5,15,short,tb
791,QW#HG#MR1S1#R#flum#5669#15,flum,15,short,tb
792,lost sectioning,,15,short,
793,cell body stain - section 13,AG,15,short,
794,lost sectioning,,15,short,
795,QW#HG#MR1s1#R#oxot#5643#15,oxot,15,short,tb
796,QW#HG#MR1s1#R#damp#5671#15,damp,15,short,tb
797,myelin stain - section 20,MS,15,short,
798,QW#HG#MR1s1#R#epib#5657#15,epib,15,short,tb
799,lost sectioning,,15,short,
800,QW#HG#MR1s1#R#praz#5649#15,praz,15,short,tb
801,QW#HG#MR1s1#R#uk14#5651#15,uk14,15,short,tb
802,spare; in freezer,,15,short,
803,QW#HG#MR1s1#R#dpat#5645#15,dpat,15,short,tb
804,QW#HG#MR1s1#R#sr95#5677#15,sr95,15,short,tb
805,cell body stain - section 32,AG,15,short,
806,QW#HG#MR1s1#R#sch2#5655#15,sch2,15,short,tb
807,QW#HG#MR1s1#R#rx82#5653#15,rx82,15,short,tb
808,QW#HG#MR1s1#R#afdx#5673#15,afdx,15,short,tb
809,QW#HG#MR1s1#R#dpog#5663#15,dpog,15,short,tb
810,myelin stain - section 41,MS,15,short,
811,QW#HG#MR1S1#R#dpmg#5665#15,dpmg,15,short,tb
812,spare; in freezer,,15,short,
813,QW#HG#MR1s1#R#ly34#5675#15,ly34,15,short,tb
814,QW#HG#MR1s1#R#cpog#5659#15,cpog,15,short,tb
815,lost sectioning,,15,short,
816,QW#HG#MR1s1#R#cpmg#5661#15,cpmg,15,short,tb
817,QW#HG#MR1s1#R#keta#5647#15,keta,15,short,tb
818,QW#HG#MR1S1#R#pire#9511#15,pire,15,short,tb
819,lost sectioning,,15,short,
820,damg; not digitized,,15,short,
821,QW#HG#MR1S1#R#ampa#9381#15,ampa,15,short,tb
822,dpdp; not digitized,,15,short,
823,spare; in freezer,,15,short,
824,spare; in freezer,,15,short,
825,spare; in freezer,,15,short,
826,spare; in freezer,,15,short,
827,spare; in freezer,,15,short,
828,spare; in freezer,,15,short,
829,spare; in freezer,,15,short,
830,spare; in freezer,,15,short,
831,QW#HG#MR1s1#R#kain#5635#16,kain,16,short,tb
832,QW#HG#MR1s1#R#mk80#5637#16,mk80,16,short,tb
833,lost sectioning,,16,short,
834,QW#HG#MR1s1#R#musc#5639#16,musc,16,short,tb
835,QW#HG#MR1s1#R#cgp5#5667#16,cgp5,16,short,tb
836,QW#HG#MR1S1#R#flum#5669#16,flum,16,short,tb
837,cell body stain - section 13,AG,16,short,
838,lost sectioning,,16,short,
839,QW#HG#MR1s1#R#oxot#5643#16,oxot,16,short,tb
840,QW#HG#MR1s1#R#damp#5671#16,damp,16,short,tb
841,myelin stain - section 20,MS,16,short,
842,lost sectioning,,16,short,
843,lost sectioning,,16,short,
844,QW#HG#MR1s1#R#epib#5657#16,epib,16,short,tb
845,QW#HG#MR1s1#R#praz#5649#16,praz,16,short,tb
846,QW#HG#MR1s1#R#uk14#5651#16,uk14,16,short,tb
847,spare; in freezer,,16,short,
848,QW#HG#MR1s1#R#dpat#5645#16,dpat,16,short,tb
849,QW#HG#MR1s1#R#sr95#5677#16,sr95,16,short,tb
850,cell body stain - section 32,AG,16,short,
851,QW#HG#MR1s1#R#sch2#5655#16,sch2,16,short,tb
852,QW#HG#MR1s1#R#rx82#5653#16,rx82,16,short,tb
853,QW#HG#MR1s1#R#afdx#5673#16,afdx,16,short,tb
854,QW#HG#MR1s1#R#dpog#5663#16,dpog,16,short,tb
855,myelin stain - section 41,MS,16,short,
856,QW#HG#MR1S1#R#dpmg#5665#16,dpmg,16,short,tb
857,spare; in freezer,,16,short,
858,QW#HG#MR1s1#R#ly34#5675#16,ly34,16,short,tb
859,QW#HG#MR1s1#R#cpog#5659#16,cpog,16,short,tb
860,QW#HG#MR1s1#R#cpmg#5661#16,cpmg,16,short,tb
861,QW#HG#MR1s1#R#keta#5647#16,keta,16,short,tb
862,QW#HG#MR1S1#R#pire#9511#16,pire,16,short,tb
863,damg; not digitized,,16,short,
864,lost sectioning,,16,short,
865,QW#HG#MR1S1#R#ampa#9381#16,ampa,16,short,tb
866,dpdp; not digitized,,16,short,
867,spare; in freezer,,16,short,
868,spare; in freezer,,16,short,
869,spare; in freezer,,16,short,
870,spare; in freezer,,16,short,
871,spare; in freezer,,16,short,
872,spare; in freezer,,16,short,
873,spare; in freezer,,16,short,
874,spare; in freezer,,16,short,
875,QW#HG#MR1s1#R#kain#5635#17,kain,17,short,tb
876,QW#HG#MR1s1#R#mk80#5637#17,mk80,17,short,tb
877,QW#HG#MR1s1#R#musc#5639#17,musc,17,short,tb
878,QW#HG#MR1s1#R#cgp5#5667#17,cgp5,17,short,tb
879,QW#HG#MR1S1#R#flum#5669#17,flum,17,short,tb
880,cell body stain - section 13,AG,17,short,
881,lost sectioning,,17,short,
882,QW#HG#MR1s1#R#oxot#5643#17,oxot,17,short,tb
883,QW#HG#MR1s1#R#damp#5671#17,damp,17,short,tb
884,myelin stain - section 20,MS,17,short,
885,QW#HG#MR1s1#R#epib#5657#17,epib,17,short,tb
886,lost sectioning,,17,short,
887,QW#HG#MR1s1#R#praz#5649#17,praz,17,short,tb
888,QW#HG#MR1s1#R#uk14#5651#17,uk14,17,short,tb
889,spare; in freezer,,17,short,
890,QW#HG#MR1s1#R#dpat#5645#17,dpat,17,short,tb
891,QW#HG#MR1s1#R#sr95#5677#17,sr95,17,short,tb
892,lost sectioning,,17,short,
893,cell body stain - section 32,AG,17,short,
894,QW#HG#MR1s1#R#sch2#5655#17,sch2,17,short,tb
895,lost sectioning,,17,short,
896,QW#HG#MR1s1#R#rx82#5653#17,rx82,17,short,tb
897,QW#HG#MR1s1#R#afdx#5673#17,afdx,17,short,tb
898,QW#HG#MR1s1#R#dpog#5663#17,dpog,17,short,tb
899,myelin stain - section 41,MS,17,short,
900,lost sectioning,,17,short,
901,lost sectioning,,17,short,
902,lost sectioning,,17,short,
903,QW#HG#MR1S1#R#dpmg#5665#17,dpmg,17,short,tb
904,spare; in freezer,,17,short,
905,QW#HG#MR1s1#R#ly34#5675#17,ly34,17,short,tb
906,QW#HG#MR1s1#R#cpog#5659#17,cpog,17,short,tb
907,QW#HG#MR1s1#R#cpmg#5661#17,cpmg,17,short,tb
908,QW#HG#MR1s1#R#keta#5647#17,keta,17,short,tb
909,QW#HG#MR1S1#R#pire#9511#17,pire,17,short,tb
910,damg; not digitized,,17,short,
911,QW#HG#MR1S1#R#ampa#9381#17,ampa,17,short,tb
912,dpdp; not digitized,,17,short,
913,spare; in freezer,,17,short,
914,spare; in freezer,,17,short,
915,spare; in freezer,,17,short,
916,spare; in freezer,,17,short,
917,spare; in freezer,,17,short,
918,spare; in freezer,,17,short,
919,spare; in freezer,,17,short,
920,spare; in freezer,,17,short,
921,lost sectioning,,17,short,
922,lost sectioning,,17,short,
923,lost sectioning,,17,short,
924,lost sectioning,,17,short,
925,lost sectioning,,17,short,
926,QW#HG#MR1s1#R#kain#5635#18,kain,18,short,tb
927,QW#HG#MR1s1#R#mk80#5637#18,mk80,18,short,tb
928,QW#HG#MR1s1#R#musc#5639#18,musc,18,short,tb
929,QW#HG#MR1s1#R#cgp5#5667#18,cgp5,18,short,tb
930,QW#HG#MR1S1#R#flum#5669#18,flum,18,short,tb
931,lost sectioning,,18,short,
932,cell body stain - section 13,AG,18,short,
933,QW#HG#MR1s1#R#oxot#5643#18,oxot,18,short,tb
934,QW#HG#MR1s1#R#damp#5671#18,damp,18,short,tb
935,myelin stain - section 20,MS,18,short,
936,QW#HG#MR1s1#R#epib#5657#18,epib,18,short,tb
937,QW#HG#MR1s1#R#praz#5649#18,praz,18,short,tb
938,QW#HG#MR1s1#R#uk14#5651#18,uk14,18,short,tb
939,spare; in freezer,,18,short,
940,QW#HG#MR1s1#R#dpat#5645#18,dpat,18,short,tb
941,QW#HG#MR1s1#R#sr95#5677#18,sr95,18,short,tb
942,lost sectioning,,18,short,
943,cell body stain - section 32,AG,18,short,
944,QW#HG#MR1s1#R#sch2#5655#18,sch2,18,short,tb
945,QW#HG#MR1s1#R#rx82#5653#18,rx82,18,short,tb
946,QW#HG#MR1s1#R#afdx#5673#18,afdx,18,short,tb
947,QW#HG#MR1s1#R#dpog#5663#18,dpog,18,short,tb
948,myelin stain - section 41,MS,18,short,
949,QW#HG#MR1S1#R#dpmg#5665#18,dpmg,18,short,tb
950,spare; in freezer,,18,short,
951,QW#HG#MR1s1#R#ly34#5676#18,ly34,18,short,tb
952,QW#HG#MR1s1#R#cpog#5659#18,cpog,18,short,tb
953,lost sectioning,,18,short,
954,lost sectioning,,18,short,
955,lost sectioning,,18,short,
956,QW#HG#MR1s1#R#cpmg#5661#18,cpmg,18,short,tb
957,QW#HG#MR1s1#R#keta#5647#18,keta,18,short,tb
958,QW#HG#MR1S1#R#pire#9511#18,pire,18,short,tb
959,damg; not digitized,,18,short,
960,QW#HG#MR1S1#R#ampa#9381#18,ampa,18,short,tb
961,lost sectioning,,18,short,
962,dpdp; not digitized,,18,short,
963,spare; in freezer,,18,short,
964,spare; in freezer,,18,short,
965,spare; in freezer,,18,short,
966,spare; in freezer,,18,short,
967,spare; in freezer,,18,short,
968,spare; in freezer,,18,short,
969,spare; in freezer,,18,short,
970,spare; in freezer,,18,short,
971,QW#HG#MR1S1#R#kain#5636#19,kain,19,short,tb
972,QW#HG#MR1s1#R#mk80#5638#19,mk80,19,short,tb
973,QW#HG#MR1s1#R#musc#5640#19,musc,19,short,tb
974,QW#HG#MR1s1#R#cgp5#5668#19,cgp5,19,short,tb
975,QW#HG#MR1S1#R#flum#5670#19,flum,19,short,tb
976,cell body stain - section 13,AG,19,short,
977,lost sectioning,,19,short,
978,QW#HG#MR1s1#R#oxot#5644#19,oxot,19,short,tb
979,QW#HG#MR1s1#R#damp#5672#19,damp,19,short,tb
980,myelin stain - section 20,MS,19,short,
981,QW#HG#MR1s1#R#epib#5658#19,epib,19,short,tb
982,QW#HG#MR1s1#R#praz#5650#19,praz,19,short,tb
983,QW#HG#MR1s1#R#uk14#5652#19,uk14,19,short,tb
984,spare; in freezer,,19,short,
985,QW#HG#MR1s1#R#dpat#5646#19,dpat,19,short,tb
986,QW#HG#MR1s1#R#sr95#5678#19,sr95,19,short,tb
987,cell body stain - section 32,AG,19,short,
988,QW#HG#MR1s1#R#sch2#5656#19,sch2,19,short,tb
989,QW#HG#MR1s1#R#rx82#5654#19,rx82,19,short,tb
990,QW#HG#MR1s1#R#afdx#5674#19,afdx,19,short,tb
991,QW#HG#MR1s1#R#dpog#5664#19,dpog,19,short,tb
992,lost sectioning,,19,short,
993,lost sectioning,,19,short,
994,myelin stain - section 41,MS,19,short,
995,QW#HG#MR1S1#R#dpmg#5666#19,dpmg,19,short,tb
996,spare; in freezer,,19,short,
997,QW#HG#MR1s1#R#ly34#5676#19,ly34,19,short,tb
998,QW#HG#MR1s1#R#cpog#5660#19,cpog,19,short,tb
999,QW#HG#MR1S1#R#cpmg#5662#19,cpmg,19,short,tb
1000,QW#HG#MR1s1#R#keta#5648#19,keta,19,short,tb
1001,QW#HG#MR1S1#R#pire#9511#19,pire,19,short,tb
1002,lost sectioning,,19,short,
1003,lost sectioning,,19,short,
1004,lost sectioning,,19,short,
1005,lost sectioning,,19,short,
1006,damg; not digitized,,19,short,
1007,QW#HG#MR1S1#R#ampa#9382#19,ampa,19,short,tb
1008,dpdp; not digitized,,19,short,
1009,spare; in freezer,,19,short,
1010,spare; in freezer,,19,short,
1011,spare; in freezer,,19,short,
1012,spare; in freezer,,19,short,
1013,spare; in freezer,,19,short,
1014,spare; in freezer,,19,short,
1015,spare; in freezer,,19,short,
1016,spare; in freezer,,19,short,
1017,lost sectioning,,19,short,
1018,QW#HG#MR1S1#R#kain#5636#20,kain,20,long,tb
1019,QW#HG#MR1S1#R#kain#5636#UB,kain,20,long,ub
1020,QW#HG#MR1s1#R#mk80#5638#20,mk80,20,long,tb
1021,QW#HG#MR1s1#R#mk80#5638#UB,mk80,20,long,ub
1022,QW#HG#MR1s1#R#musc#5640#20,musc,20,long,tb
1023,musc (UB); not digitized,musc,20,long,ub
1024,lost sectioning,,20,long,
1025,QW#HG#MR1s1#R#cgp5#5668#20,cgp5,20,long,tb
1026,QW#HG#MR1s1#R#cgp5#5668#UB,cgp5,20,long,ub
1027,QW#HG#MR1S1#R#flum#5670#20,flum,20,long,tb
1028,QW#HG#MR1S1#R#flum#5670#UB,flum,20,long,ub
1029,cell body stain - section 13,AG,20,long,
1030,lost sectioning,,20,long,
1031,lost sectioning,,20,long,
1032,QW#HG#MR1s1#R#oxot#5644#20,oxot,20,long,tb
1033,oxot (UB); not digitized,oxot,20,long,ub
1034,QW#HG#MR1s1#R#damp#5672#20,damp,20,long,tb
1035,QW#HG#MR1s1#R#damp#5672#UB,damp,20,long,ub
1036,myelin stain - section 20,MS,20,long,
1037,lost sectioning,,20,long,
1038,QW#HG#MR1s1#R#epib#5658#20,epib,20,long,tb
1039,epib (UB); not digitized,epib,20,long,ub
1040,QW#HG#MR1s1#R#praz#5650#20,praz,20,long,tb
1041,QW#HG#MR1s1#R#praz#5650#UB,praz,20,long,ub
1042,QW#HG#MR1s1#R#uk14#5652#20,uk14,20,long,tb
1043,uk14 (UB); not digitized,uk14,20,long,ub
1044,spare; in freezer,,20,long,
1045,QW#HG#MR1s1#R#dpat#5646#20,dpat,20,long,tb
1046,dpat (UB); not digitized,dpat,20,long,ub
1047,QW#HG#MR1s1#R#sr95#5678#20,sr95,20,long,tb
1048,QW#HG#MR1s1#R#sr95#5678#UB,sr95,20,long,ub
1049,cell body stain - section 32,AG,20,long,
1050,QW#HG#MR1s1#R#sch2#5656#20,sch2,20,long,tb
1051,QW#HG#MR1s1#R#sch2#5656#ub,sch2,20,long,ub
1052,lost sectioning,,20,long,
1053,QW#HG#MR1s1#R#rx82#5654#20,rx82,20,long,tb
1054,rx82 (UB); not digitized,rx82,20,long,ub
1055,QW#HG#MR1s1#R#afdx#5674#20,afdx,20,long,tb
1056,QW#HG#MR1s1#R#afdx#5674#ub,afdx,20,long,ub
1057,QW#HG#MR1s1#R#dpog#5664#20,dpog,20,long,tb
1058,lost sectioning,,20,long,
1059,QW#HG#MR1s1#R#dpog#5664#UB,dpog,20,long,ub
1060,myelin stain - section 41,MS,20,long,
1061,QW#HG#MR1S1#R#dpmg#5666#20,dpmg,20,long,tb
1062,QW#HG#MR1S1#R#dpmg#5666#UB,dpmg,20,long,ub
1063,spare; in freezer,,20,long,
1064,QW#HG#MR1s1#R#ly34#5676#20,ly34,20,long,tb
1065,ly34 (ub); not digitized,ly34,20,long,ub
1066,QW#HG#MR1s1#R#cpog#5660#20,cpog,20,long,tb
1067,QW#HG#MR1s1#R#cpog#5660#ub,cpog,20,long,ub
1068,QW#HG#MR1S1#R#cpmg#5662#20,cpmg,20,long,tb
1069,QW#HG#MR1S1#R#cpmg#5662#UB,cpmg,20,long,ub
1070,QW#HG#MR1s1#R#keta#5648#20,keta,20,long,tb
1071,QW#HG#MR1s1#R#keta#5648#UB,keta,20,long,ub
1072,QW#HG#MR1S1#R#pire#9512#20,pire,20,long,tb
1073,QW#HG#MR1S1#R#pire#9512#UB,pire,20,long,ub
1074,damg; not digitized,,20,long,
1075,damg (UB); not digitized,,20,long,
1076,lost sectioning,,20,long,
1077,QW#HG#MR1S1#R#ampa#9382#20,ampa,20,long,tb
1078,QW#HG#MR1S1#R#ampa#9382#UB,ampa,20,long,ub
1079,lost sectioning,,20,long,
1080,dpdp; not digitized,,20,long,
1081,dpdp (UB); not digitized,,20,long,ub
1082,spare; in freezer,,20,long,
1083,spare; in freezer,,20,long,
1084,spare; in freezer,,20,long,
1085,spare; in freezer,,20,long,
1086,spare; in freezer,,20,long,
1087,spare; in freezer,,20,long,
1088,spare; in freezer,,20,long,
1089,spare; in freezer,,20,long,
1090,spare; in freezer,,20,long,
1091,spare; in freezer,,20,long,
1092,spare; in freezer,,20,long,
1093,spare; in freezer,,20,long,
1094,lost sectioning,,20,long,
1095,lost sectioning,,20,long,
1096,lost sectioning,,20,long,
1097,lost sectioning,,20,long,
1098,lost sectioning,,20,long,
1099,QW#HG#MR1S1#R#kain#5636#21,kain,21,short,tb
1100,QW#HG#MR1s1#R#mk80#5638#21,mk80,21,short,tb
1101,QW#HG#MR1s1#R#musc#5640#21,musc,21,short,tb
1102,QW#HG#MR1s1#R#cgp5#5668#21,cgp5,21,short,tb
1103,flum - section lost,flum,21,short,tb
1104,cell body stain - section 13,AG,21,short,
1105,lost sectioning,,21,short,
1106,lost sectioning,,21,short,
1107,QW#HG#MR1s1#R#oxot#5644#21,oxot,21,short,tb
1108,QW#HG#MR1s1#R#damp#5672#21,damp,21,short,tb
1109,myelin stain - section 20,MS,21,short,
1110,QW#HG#MR1s1#R#epib#5658#21,epib,21,short,tb
1111,QW#HG#MR1s1#R#praz#5650#21,praz,21,short,tb
